qty,mfg,partnumber,value,description,designator,footprint,digikey,mouser,price-1,price-1000
1,,,,,ANT1,ANT-INV-F,,,,
1,,,1uF,,C1,SMD0603,PCC2399CT-ND,,,
17,,,,,"C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 L2 R7 R8 R9 R10 R11 R12",SMD0603,,,,
2,,,,,"D1 D2",SOD123,,,,
3,,,LETTER_L,,"FRAME1 FRAME2 FRAME3",,,,,
1,,,MOLEX-48037,,JP1,USB-A-PLUG,,,2.22,0.86
1,,,,,JP17,1X4,,,,
4,,,,,"JP18 JP19 JP20 JP21",1X16,,,,
17,,,,,"JP2 JP3 JP4 JP5 JP6 JP7 JP8 JP9 JP10 JP11 JP12 JP13 JP14 JP15 JP16 JP26 JP27",1X2,,,,
1,,,,,L1,SLF6028,,,,
1,,,,"12Mhz xtal 18pF",Q1,SM49,,815-ABLS2-12-D4Y-T,0.63,0.238
1,,,,"24Mhz xtal 10ppm",Q2,SM49,535-9701-1-ND,,0.94,0.475
2,,,,,Q3,LED0603,,604-APT1608SRCPRV,,
2,,,,,Q4,LED0603,,LTST-S270KGKT,,
1,,,8.06k,,R1,SMD0603,,,,
1,,,1.02k,,R2,SMD0603,,,,
1,,,15.0k,,R3,SMD0603,,,,
1,,,56k,,R4,SMD0603,,,,
1,,,12k,,R5,SMD0603,,,,
1,,,,,"S1 S2 S3",KSC-J,,"611-KSC243JLFG  ",0.54,0.256
1,,,MC13224V-LGA145,,U1,LGA145,,,5.13,5.15
1,,,FT2232HL,,U2,LQFP-64,768-1024-1-ND,,6.71,3.7
1,,,MIC5205-BM5,"Adj. Vreg",U3,SOT-23-5,576-1262-1-ND,,0.81,0.378
