qty,mfg,partnumber,value,description,designator,footprint,digikey,mouser,price-1,price-1000
3,Murata,GRM188F51E105ZA12D,1uF,"Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0603 1uF 25volts Y5V +80-20%","C1 C5 C12",SMD0603,,81-GRM188F51E105ZA12,,
2,Murata,GRM21BR60J106KE19L,10uF,"Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0805 10uF 6.3volts X5R 10%","C13 C14",SMD0805,,81-GRM21R60J106KE19L,,
2,Kemet,C0603C120C5GACTU,12pF,"Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 12pF C0G 0.25%","C15 C16",SMD0603,,80-C0603C120C5G,,
3,"Taiyo Yuden",TMK107BJ104KA-T,0.1uF,"CAP CER .10UF 25V X5R 0603","C2 C4 C11",SMD0603,587-1245-1-ND,,,
1,Vishay/Vitramon,VJ0603A471JXAAC,470pF,"Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 470pF 50volts 5%",C3,SMD0603,,77-VJ0603A471JXAAC,,
2,Murata,GRM1885C1H180GA01D,18pF,"Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0603 18pF 50volts C0G 2%","C6 C7",SMD0603,,81-GRM1885C1H180GA,,
0,,,open,"do not place","C8 R8",SMD0603,,,,
0,,,,"do not place","C9 C10",SMD0603,,,,
1,"NXP Semiconductors","PMEG3010ER,115",,"Schottky (Diodes & Rectifiers) SCHOTTKY DIODE",D1,SOD123,,771-PMEG3010ER115,,
0,,,,"do not place",D2,SOD123,,,,
0,,,MOLEX-48037,"do not place",JP1,USB-A-PLUG,,,,
0,,,,"do not place",JP17,1X4,,,,
0,,,,"do not place","JP18 JP19 JP20 JP21",1X16,,,,
0,,,,"do not place",JP2,1X11-SKIP6-9-10,,,,
1,Molex,48037-1000,MOLEX-48037-NOHOLES,"USB & Firewire Connectors TYPE A RA SHLDED PLG SMT AU",JP23,USB-A-PLUG-NOHOLES,,538-48037-1000,,
0,,,,"do not place","JP3 JP4 JP10 JP11 JP12 JP13 JP15 JP16 JP26 JP27",1X2,,,,
0,,,,"do not place",L1,SLF6028,,,,
1,Vishay/Dale,CRCW06030000ZSTB,short,"Jumper Resistors / Wire Bridges 1/10watt 0ohms JUMPER",L2,SMD0603,,71-CRCW0603000ZT-RT5,,
1,ABRACON,ABLS2-12.000MHZ-D4Y-T,12MHz,"12MHz xtal 18pF",Q1,SM49,,815-ABLS2-12-D4Y-T,,
1,"Abracon Corporation",ABLS-24.000MHZ-D-R60-1-W-T,"24MHz 10ppm","24MHz xtal 10ppm",Q2,SM49,535-9701-1-ND,,,
1,Kingbright,APT1608SRCPRV,RED,"Standard LED - SMD RED WATER CLEAR",Q3,LED0603,,604-APT1608SRCPRV,,
1,"Lite-On Inc",LTST-C190KGKT,GREEN,"LED GREEN CLEAR 0603 SMD",Q4,LED0603,160-1435-1-ND,,,
1,Xicon,302-8.06K-RC,8.06k,"Thick Film Resistors 1/10WATT 8.06KOHMS",R1,SMD0603,,302-8.06K-RC,,
2,Bourns,CR0603-JW-102GLF,1k,"Thick Film Resistors 1KOHM 1/10WATT 5%","R10 R13",SMD0603,,652-CR0603-JW-102GLF,,
1,Bourns,CR0603-JW-221GLF,220,"Thick Film Resistors 220OHM 1/10WATT 5%",R11,SMD0603,,652-CR0603-JW-221GLF,,
1,Xicon,301-120-RC,120,"Thick Film Resistors 1/16WATT 120OHMS",R12,SMD0603,,301-120-RC,,
1,Vishay/Dale,CRCW06031K02FKTA,1.02k,"Thick Film Resistors 1/10watt 1.02Kohms 1%",R2,SMD0603,,71-CRCW0603-1.02K,,
1,Xicon,302-15K-RC,15.0k,"Thick Film Resistors 1/10WATT 15KOHMS",R3,SMD0603,,302-15K-RC,,
2,"KOA Speer",RK73B1JTTD563J,56k,"Thick Film Resistors 1/10watts 56Kohms 5%","R4 R9",SMD0603,,660-RK73B1JTTD563J,,
1,"KOA Speer",RK73H1JTTD1202F,12k,"Thick Film Resistors 1/10watts 12Kohms 1%",R5,SMD0603,,660-RK73H1JTTD1202F,,
1,Xicon,301-10M-RC,10M,"Thick Film Resistors 1/16WATT 10MOHMS",R6,SMD0603,,301-10M-RC,,
1,Bourns,CR0603-JW-333GLF,33k,"Thick Film Resistors 33KOHM 1/10WATT 5%",R7,SMD0603,,652-CR0603-JW-333GLF,,
3,"C&K Components",KSC243JLFG,,"Tactile & Jog Switches Gold 300Gf J-Lead","S1 S2 S3",KSC-J,,611-KSC243JLFG,,
1,"Freescale Semiconductor",MC13224V,MC13224V-LGA145,"RF Transceiver PIP 802.15.4 2.4G IND Learn More",U1,LGA145,,841-MC13224V,,
1,"FTDI, Future Technology Devices International Ltd","FT2232HL - REEL",FT2232HL,"IC USB UART/FIFO DUAL HS 64LQFP",U2,LQFP-64,768-1024-1-ND,,,
1,"Micrel Inc","MIC5205YM5 TR",MIC5205-BM5,"Adj. Vreg",U3,SOT-23-5,576-1262-1-ND,,,
